,player_id,Full Name,team_name,year,Points,Rebounds,Assists,Steals,Blocks,FGA,FG%,3PA,3P%,FTA,FT%,Def. Rebounds,Off. Rebounds,Fouls,Turnovers
0,1046,Trae Young,Atlanta Hawks,2020,1.3522635374279455,-0.7774942007148558,1.6877969030298572,-0.08179888639305569,-0.6570939250280318,1.6092245325729746,-0.43482671489041574,0.673901113385186,0.08682295309145009,1.4496215936948016,0.8994684252992823,0.1859802789362346,-0.17928721605162332,0.1893902822803638,1.4624841920763239
1,761,John Collins,Atlanta Hawks,2020,0.6864531306877976,0.8424181215796517,-1.0552167687565763,-0.6238692084716534,0.5531646635371673,0.8217275806241412,1.0712866369313707,0.27858856734217624,0.561285492969992,0.6150266264894318,0.44574202854187356,1.1859238149025766,0.9046203445201574,1.1890947289958662,0.2847433199092158
2,743,Bogdan Bogdanovic,Atlanta Hawks,2020,0.47768356753173313,-0.48780293833102384,0.29124402233416835,0.4487529192435456,-0.18472000569403585,1.016538517679491,-0.25572844822353696,0.7331904094261043,0.6688174177544888,-0.3264850641818183,0.7144787861136691,0.28324686046904535,-0.2400763991621552,0.6343966644183113,0.2523856476003688
3,1868,De'Andre Hunter,Atlanta Hawks,2020,0.41331914827933786,-0.10896406946453091,-0.6593332689173643,-0.2991288194827005,0.20473012212944738,0.6323714426596816,0.18524279287853995,0.4061450822488624,0.32839458987194203,0.7656978627246402,0.5373881535599476,0.5415392184244257,-0.015369119786424305,0.7657825356519795,0.3013094827278405
4,92,Clint Capela,Atlanta Hawks,2020,0.2477163612717874,1.8343796492546218,-1.6819295029596142,-0.3527347986470644,0.9935190113127602,0.5810011949290124,1.6260926843703576,-5.178311284786985,-2.8328130784097802,0.6793611301051593,-1.5940696037233355,1.9167495390995237,1.607107027138254,0.6271767222867302,0.10334484607749955
5,181,Danilo Gallinari,Atlanta Hawks,2020,0.6370176085077888,0.0788485291998591,-0.656020891632952,-0.3248747275617596,-0.29568303632515847,0.40891931865947534,-0.42814186958360745,0.49481533094133395,0.6434670564416561,0.6807322439102111,1.2545320374551827,0.4747866032892407,-0.6081494313127088,0.45651696600777797,-0.2161511385982474
6,980,Kevin Huerter,Atlanta Hawks,2020,-0.20127414810309313,-0.6652139830092884,0.37386721053967087,0.29372092514356113,-0.002756105389966131,0.6368819952529673,-0.5025977603669423,0.5652516510815434,0.2629779460436843,-0.3871806803348466,0.03235190516599959,0.07472490557904243,-0.13708555047584192,0.7177602659593214,0.12657945101897736
7,1889,Cam Reddish,Atlanta Hawks,2020,0.015071007513387882,-0.18178914970475626,-0.6710159698552933,0.6942629676186453,-0.01638788897829813,0.41748218915228613,-0.9729483398361234,0.4344712306384569,-0.16107367819829807,0.5407013061165694,0.5243393701086204,0.21126976599165767,0.0204007910827083,0.6822995865460252,0.32212513668872916
8,553,Lou Williams,Atlanta Hawks,2020,0.3578893784351648,-0.9491265854774746,0.8598359639335273,-0.15618954956816072,-0.7785918055744356,0.10984452296920509,-0.6763194233769304,0.029121190682996123,1.011523058561185,0.23704254217537776,1.0424244019538924,-0.848947846545823,-1.1178652995454148,-1.3563031744877816,0.4229973747932266
9,239,Solomon Hill,Atlanta Hawks,2020,-1.601689957662993,-0.2836132863327907,-0.8518709388944147,0.10096748030643445,-0.38593706700663116,-1.234979222965729,-1.4221172445079506,0.16532780476210168,-0.11672945578814804,-0.7461068789102161,-0.013560481051632526,-0.4529392699007865,-0.28868303489131314,-0.27484755580449494,-0.7879266599388677
10,492,Tony Snell,Atlanta Hawks,2020,-1.2415898802349474,-0.7137303404271637,-0.5530903021712612,-0.9371840036343535,-0.07603419409234059,-1.6937592803436676,0.20127811073679694,-0.036688011090654025,1.7492199929529118,-1.7925538317187684,1.777022581435998,-1.0183959900112163,-0.831942433225469,-0.7322915288608737,-1.0490246900236349
11,2629,Onyeka Okongwu,Atlanta Hawks,2020,-0.31718561597442885,0.9456234401881074,-1.6988776529450573,0.3146810575756739,1.003389340549722,-1.930380468988106,2.0316057116411277,-1.8756543655619016,-2.8328130784097802,-0.26876590707112247,-0.8929592632201119,-0.7648756303592769,0.41120529263562317,0.0008181590121552372,-0.863052797672976
12,455,Rajon Rondo,Atlanta Hawks,2020,-1.0657507676466236,-0.310870878928453,1.5212551108310224,0.5977663548078653,-0.3763706868283863,-1.1886246835924204,-0.8800508895733203,-0.10544484895327204,0.4400676868492861,-2.544734149752593,-1.941880702192155,-0.7322467422952643,-1.4561755250087483,-1.3991420230006129,0.25079401017220815
17,882,Jayson Tatum,Boston Celtics,2020,1.3640179881689878,0.3848008417501778,0.5071099918720268,0.1694440037769283,0.1688547490558978,1.81995881008517,-0.13279101131022952,0.7285262572745601,0.5152362705330745,1.1373188153105005,0.8359862274279013,1.3562034398184653,0.10119179652510542,0.28541794571900897,1.0005923981171707
18,75,Jaylen Brown,Boston Celtics,2020,1.236885049573373,0.12896757142931423,0.20482397060765414,0.31896157082065124,0.14017950071119756,1.6659233235666018,0.19549671825891057,0.6916300856865607,0.6079077260933399,0.8882985397867122,0.035631361324403095,0.8779183860503718,0.5081745346611085,1.0212592917573324,1.0326813159711574
19,538,Kemba Walker,Boston Celtics,2020,0.8505127804430413,-0.46922103895636,0.8389267155498437,0.22588713217192086,-0.2479830309214173,1.3415940074886437,-0.6355627858133971,0.7691064552191027,0.2582409776682267,0.7126521392249081,1.0424244019538935,0.4426532520503138,-0.5109916330340408,-0.13161089512017876,0.7476997452777187
20,177,Evan Fournier,Boston Celtics,2020,0.11159843135303964,-0.6576277749813718,0.07142414165440442,0.43576855118898566,0.09693915215406781,0.7444019034056064,-0.37750343323248575,0.6027723663315215,1.0979750162525077,-0.16406656622278407,0.06060568129992705,0.13492891860061143,-0.2792879478028717,1.0823177620880575,0.15985021689289497
21,486,Marcus Smart,Boston Celtics,2020,-0.07997524979026033,-0.8108009758182547,1.0138700546048,0.5262124113078972,0.04749627902350577,0.6350435777698041,-0.7972931289058165,0.6004737548373786,0.058888802542005035,0.6778866401358542,0.1688481885157161,-0.03525523471892737,0.030685993329467223,0.7810625596800692,0.7228782205107191
24,1045,Robert Williams III,Boston Celtics,2020,0.04283967455864268,1.436113543728394,0.12327616532939875,0.5100814390015467,1.3140671137437578,-0.7280596622019598,3.1766563344362297,-2.1044258731252286,-2.8328130784097802,-0.04780334305651429,-1.1416103753354632,0.6412667000457938,1.1135003978362144,0.3470578365593501,-0.10644465209025487
25,2635,Payton Pritchard,Boston Celtics,2020,-0.0810657042874722,-0.46044439347271054,0.21905093350651356,-0.0058106332709690865,-0.4258565387239465,-0.30622891863466917,-0.3212479420434875,0.3425601411791196,0.6911943870767108,-0.6273752832401442,1.0180627276343333,-0.6133663030545776,-0.2912748527481686,-0.24456571809561228,-0.2512498218466198
26,505,Jeff Teague,Boston Celtics,2020,-0.10188181281212065,-1.0937185610921931,0.4626791568696787,0.5651213825792524,-0.09450856495034957,-0.8065820972208192,-0.42107401003101624,-0.16016239590463782,1.5310279419356407,-0.014493686530547542,0.5577100294267677,-1.4756674901835733,-0.9444418050096631,-0.9629589789934226,-0.062419298951784316
28,1901,Grant Williams,Boston Celtics,2020,-1.0691853223771748,-0.03443064824571609,-0.5403532197968425,-0.08258098471844826,0.38052545847456604,-1.3262724481695407,-0.3428133348311176,-0.03916548013976554,0.41617804622695637,-0.6020569275351112,-1.1154577502747869,-0.6731385410096403,0.01947178120785203,0.5172059480516461,-0.31983816863908743
29,852,Semi Ojeleye,Boston Celtics,2020,-0.9786805895620474,-0.13576948513019116,-1.1368680026977245,-0.5330488323981736,-1.6408506950373216,-1.4573337128128527,-0.9229371086736368,0.09344581487353427,0.28799443917058143,-0.8798620177939432,-0.08242906037807858,-0.8515207061221018,-0.39363123475502637,-1.5400671474682939,-1.302945181853742
30,1874,Romeo Langford,Boston Celtics,2020,-1.2988811712814152,-0.553377948766571,-0.9314368318361524,-0.3446173810499046,0.09589962692679546,-1.3843921257838656,-1.0587434691579725,-0.21799817823227766,-0.08982729419265893,-0.6627499440273695,0.12417667760126277,-1.4551937132569992,-0.060881095473093005,-1.052544823392313,-0.9803696329240793
37,153,Kevin Durant,Brooklyn Nets,2020,1.571368620189247,0.511783704292339,0.8279526821452793,-0.1437283417734551,0.7348620483599946,1.6370962799796869,0.7903123620518252,0.5786462225240371,0.9395916131708764,1.314594737751297,0.8715504775961005,1.5194612944812778,-0.5292866779403302,0.4711067246558986,1.265322183348986
38,261,Kyrie Irving,Brooklyn Nets,2020,1.3640133573028286,-0.29611078164383486,0.9298765840496492,0.38840444337152663,0.26829032131971225,1.724947350820025,0.47485363500774247,0.6854718511769832,0.6504322203412732,0.8151430573543345,1.1522468297864676,0.5302831399200058,0.3231168815672115,0.765387731783414,0.8047052396085027
39,216,James Harden,Brooklyn Nets,2020,1.0361008629793047,0.5542791081612154,1.7578695781333058,0.33919560946860833,0.31462075608263135,1.3330762055725793,0.08118357366096783,0.7090886495211218,0.36024132672101566,1.318542178449419,0.7700580000228358,1.5462108213174535,0.15299216882991484,0.6726630885073752,1.3630562002329332
40,317,Caris LeVert,Brooklyn Nets,2020,1.0877908835811245,-0.08934140055474032,1.3516685032667046,0.40092211027672064,0.22253115770521878,1.4381660225778699,-0.37699553952660986,0.5365593052576266,0.2149489040536881,0.5521171650195528,0.026950447963926843,0.3808334617313262,0.16465820769414477,-0.045918220921408216,0.7874277251954278
41,221,Joe Harris,Brooklyn Nets,2020,0.0828924014331251,-0.6819488034606327,-0.5589482470651429,-0.5309378303590715,-0.47103419967919585,0.5817448197704841,0.29297708411785056,0.6439021210870312,1.2004339252428058,-0.46635101732796486,0.11184200667712345,0.11535544978061632,-0.12438085148319394,0.4413042634545988,-0.16223645926796895
42,8,LaMarcus Aldridge,Brooklyn Nets,2020,0.39525107537066084,0.2159687777353126,0.2388560146610383,-0.2948995256852975,1.225410693983105,0.4792776808127588,0.6954220204313606,-0.33531997668170593,4.149332554142894,0.26682989831977094,1.777022581435998,0.7458885079785161,-0.4732035142317875,0.501193592581649,0.33525891571318084
43,207,Jeff Green,Brooklyn Nets,2020,-0.05826092055398271,-0.28468022813328886,-0.49597812610627795,-0.5155569682320386,0.0829943516630102,0.06403106878119202,0.33596629645099646,0.33817678171676585,0.8522082276596863,0.3741506072070419,0.16767262243902017,0.25112046815697786,-0.26777732680838695,0.13472378557950554,-0.2792328236502696
44,727,Jarrett Allen,Brooklyn Nets,2020,-0.023289623359011597,1.5593475441239504,-0.502267395666143,-0.2464089366581292,1.032484445130763,-0.6019265306617098,2.3931704398692393,-5.178311284786985,-2.8328130784097802,1.042165216401649,-0.22119410827465208,1.486568404604699,1.2554083109946372,-0.015831766394447982,0.5776116656594923
45,208,Blake Griffin,Brooklyn Nets,2020,0.032324069080673534,0.5282730091900631,0.17807037337130954,0.13622957523007012,0.3427934010779827,-0.05672345998895925,0.48174659006732623,0.2559700832009462,0.5239877064713127,0.1876866516192178,0.05231381221714408,0.5620468730638518,0.43055348975466007,1.0240191238021903,-0.09825210869726184
